Implementation,Device,Seconds,Frame
Dax,CUDA,0.126632,0
Dax,CUDA,0.126033,1
Dax,CUDA,0.126339,2
Dax,CUDA,0.126427,3
Dax,CUDA,0.12589,4
Dax,CUDA,0.126135,5
Dax,CUDA,0.126289,6
Dax,CUDA,0.125831,7
Dax,CUDA,0.126184,8
Dax,CUDA,0.12578,9
Dax,CUDA,0.125752,10
Dax,CUDA,0.126068,11
Dax,CUDA,0.125688,12
Dax,CUDA,0.125995,13
Dax,CUDA,0.126187,14
Dax,CUDA,0.125948,15
Dax,CUDA,0.126116,16
Dax,CUDA,0.125857,17
Dax,CUDA,0.126445,18
Dax,CUDA,0.126582,19
PISTON,CUDA,0.117333,0
PISTON,CUDA,0.117223,1
PISTON,CUDA,0.117526,2
PISTON,CUDA,0.117384,3
PISTON,CUDA,0.117124,4
PISTON,CUDA,0.117331,5
PISTON,CUDA,0.117187,6
PISTON,CUDA,0.117244,7
PISTON,CUDA,0.117347,8
PISTON,CUDA,0.117421,9
PISTON,CUDA,0.117263,10
PISTON,CUDA,0.117348,11
PISTON,CUDA,0.11714,12
PISTON,CUDA,0.117674,13
PISTON,CUDA,0.11739,14
PISTON,CUDA,0.11724,15
PISTON,CUDA,0.11719,16
PISTON,CUDA,0.117343,17
PISTON,CUDA,0.117452,18
PISTON,CUDA,0.117328,19
Dax,OpenMP,1.05676,0
Dax,OpenMP,0.909425,1
Dax,OpenMP,0.936527,2
Dax,OpenMP,0.911757,3
Dax,OpenMP,0.949272,4
Dax,OpenMP,0.912289,5
Dax,OpenMP,0.948137,6
Dax,OpenMP,0.911505,7
Dax,OpenMP,0.94216,8
Dax,OpenMP,0.917177,9
Dax,OpenMP,0.942596,10
Dax,OpenMP,0.913372,11
Dax,OpenMP,0.928517,12
Dax,OpenMP,0.921486,13
Dax,OpenMP,0.931858,14
Dax,OpenMP,0.912234,15
Dax,OpenMP,0.917029,16
Dax,OpenMP,0.945335,17
Dax,OpenMP,0.920554,18
Dax,OpenMP,0.922459,19
PISTON,OpenMP,0.942862,0
PISTON,OpenMP,0.918755,1
PISTON,OpenMP,0.930646,2
PISTON,OpenMP,0.91105,3
PISTON,OpenMP,0.929105,4
PISTON,OpenMP,0.918392,5
PISTON,OpenMP,0.939267,6
PISTON,OpenMP,1.01166,7
PISTON,OpenMP,0.992028,8
PISTON,OpenMP,0.922582,9
PISTON,OpenMP,0.931182,10
PISTON,OpenMP,0.919508,11
PISTON,OpenMP,0.971352,12
PISTON,OpenMP,0.924526,13
PISTON,OpenMP,0.975648,14
PISTON,OpenMP,0.923385,15
PISTON,OpenMP,0.974606,16
PISTON,OpenMP,0.933487,17
PISTON,OpenMP,0.95344,18
PISTON,OpenMP,0.920109,19
